Depth,Train,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Test26,Test27,Test28,Test29,Test30,Test31,Test32,Test33,Test34,Test35,Test36,Test37,Test38,Test39,Test40,Test41,Test42,Test43,Test44,Test45,Test46,Test47,Test48,Test49,Test50,Mean,STD,First_Quartile,Median,Third_Quartile
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,50.81650193382037,49.721706864564005,54.25925925925926,50.95419847328244,50.630630630630634,50.97690941385436,51.85840707964602,53.83244206773619,52.35602094240838,49.50099800399202,48.90909090909091,52.82331511839708,54.400000000000006,48.55195911413969,53.42205323193916,53.01418439716312,52.477064220183486,48.76190476190476,51.6504854368932,52.94117647058824,50.17482517482518,51.335877862595424,51.356993736951985,53.70018975332068,51.94805194805194,52.63157894736842,49.53617810760667,49.73451327433629,51.181102362204726,50.88967971530249,49.18032786885246,50.259067357512954,49.82078853046595,50.62611806797853,53.403141361256544,49.46996466431096,47.27592267135325,52.861952861952865,50.45703839122486,50.96660808435852,53.72848948374761,48.85361552028218,51.6504854368932,54.510556621881,52.930402930402934,50.72463768115942,53.41506129597198,53.2258064516129,47.91288566243194,47.01492537313433,50.089445438282645,51.23816078066608,1.9234761525904616,49.7560820883687,51.07900588802954,52.91329041329042
6,51.44582380077261,50.77220077220077,54.15860735009671,51.41129032258065,50.95419847328244,51.291512915129154,52.27686703096539,53.64485981308411,53.333333333333336,49.390243902439025,49.714285714285715,53.9047619047619,54.43298969072165,49.38488576449912,53.86138613861387,53.3457249070632,53.07692307692308,49.60317460317461,52.2,53.65384615384615,50.99457504520796,52.129817444219064,52.27765726681128,54.2,52.038834951456316,53.25884543761639,50.09633911368015,50.0,51.028806584362144,52.04460966542751,50.8637236084453,51.26353790613718,50.4725897920605,50.74626865671642,53.86029411764706,50.373134328358205,46.909090909090914,53.98230088495575,51.82341650671785,51.11111111111111,53.6,49.45454545454545,52.5987525987526,55.172413793103445,53.43511450381679,51.625239005736134,54.08348457350273,53.37078651685393,48.19734345351044,48.054474708171206,50.0,51.78956399610029,1.8863404890815862,50.54100950822448,51.931125729087086,53.419032507076075
7,52.872898906709054,53.07125307125307,55.18987341772152,53.17460317460318,50.23923444976076,54.047619047619044,53.686635944700456,53.62318840579711,55.092592592592595,49.86737400530504,50.34324942791763,54.76772616136919,55.643044619422575,51.33333333333333,54.40806045340051,56.62100456621004,55.13784461152882,49.86737400530504,53.535353535353536,53.333333333333336,51.5625,52.25,53.50140056022409,55.13784461152882,49.744897959183675,54.81481481481482,51.58924205378973,50.0,51.19363395225464,50.95238095238095,52.896725440806044,49.09090909090909,52.19512195121951,51.06888361045131,55.26315789473685,52.04819277108433,48.148148148148145,56.27906976744186,53.301886792452834,53.41463414634147,52.94117647058824,52.32558139534884,53.28083989501312,55.18987341772152,54.65686274509803,54.207920792079214,55.47785547785548,55.140186915887845,52.5,46.78217821782179,50.0,52.79877236003418,2.2342738139538167,51.228558797524315,53.227721534808154,54.740010307301404
8,53.47530163968237,53.333333333333336,55.3072625698324,53.62318840579711,51.385390428211586,54.35897435897436,54.166666666666664,54.06824146981627,56.32754342431762,50.985915492957744,50.97560975609756,54.145077720207254,55.6497175141243,51.43540669856459,55.733333333333334,56.3855421686747,54.52127659574468,50.71633237822349,54.42359249329759,52.67379679144385,50.47169811320755,52.139037433155075,53.43283582089552,55.38057742782152,50.26881720430107,55.927835051546396,49.87080103359173,50.41095890410959,51.52354570637119,51.53061224489795,53.2608695652174,49.75247524752475,52.879581151832454,49.10025706940874,54.78036175710594,51.554404145077726,48.52216748768473,56.930693069306926,53.0,54.40414507772021,53.46260387811634,52.66990291262136,53.65168539325843,55.437665782493376,52.820512820512825,53.562005277044854,56.75,55.50000000000001,52.94117647058824,45.05208333333333,50.93333333333333,52.96277688623394,2.4097165380469594,51.39789449579984,53.29710144927537,54.49685557013291
9,53.53043797631072,51.11607142857143,54.347826086956516,45.90163934426229,50.95238095238095,54.58515283842795,53.86313465783664,53.20088300220751,53.94456289978679,44.03444034440344,42.59028642590286,52.6431718061674,54.69879518072289,51.56576200417536,54.48577680525164,55.09355509355509,53.93518518518518,50.11990407673861,55.98194130925508,52.82167042889391,51.56576200417536,50.66964285714286,53.54330708661418,55.38461538461539,48.306997742663654,52.46913580246913,52.069716775599126,48.61878453038674,51.94174757281553,49.546279491833026,48.508946322067594,50.31315240083507,51.69300225733634,48.504273504273506,53.125,52.84738041002278,45.98930481283423,55.13626834381551,53.46320346320347,53.00925925925925,51.02040816326531,50.74626865671642,53.605769230769226,54.157303370786515,53.56371490280778,53.229398663697104,56.28997867803838,54.12262156448203,52.71493212669684,43.84920634920635,50.32967032967033,51.724343838575614,3.1543150272251768,50.41466346153846,52.67905196643212,53.917172553348045
10,53.801382320843935,48.65979381443299,52.28310502283106,48.952380952380956,50.46948356807511,53.691275167785236,53.46756152125279,52.22222222222223,53.79609544468546,43.139534883720934,46.0,52.20264317180616,54.85436893203883,51.0548523206751,53.79464285714286,53.398058252427184,53.70370370370371,49.40334128878281,54.27251732101617,52.15419501133787,50.74309978768577,50.45454545454545,53.626943005181346,55.021834061135365,48.735632183908045,52.0242914979757,49.693251533742334,47.30983302411874,52.48756218905473,48.91696750902527,48.09619238476954,49.36974789915966,50.79006772009029,49.134199134199136,52.888888888888886,52.8604118993135,45.632798573975045,53.42741935483871,53.03030303030303,52.54629629629629,50.0,49.62686567164179,52.89855072463768,52.46913580246913,54.21166306695464,53.09734513274337,56.15550755939525,54.700854700854705,51.94508009153318,44.377510040160644,49.358974358974365,51.26303096067778,2.8383887607276286,49.37814624656545,52.17841909157201,53.42007907923583
