Depth,Loss,BiasSquare,Variance
1,0.2639565217391305,0.24782608695652175,0.1372608695652174
2,0.22504347826086957,0.19130434782608696,0.10895652173913044
3,0.23347826086956525,0.2,0.12978260869565217
4,0.2417608695652174,0.19130434782608696,0.16558695652173913
5,0.24604347826086959,0.1826086956521739,0.17408695652173917
6,0.2544782608695652,0.1826086956521739,0.1888260869565217
7,0.26319565217391305,0.16956521739130434,0.19980434782608694
8,0.2667391304347826,0.1608695652173913,0.20639130434782613
9,0.2737391304347826,0.1782608695652174,0.21147826086956523
10,0.2782173913043478,0.1782608695652174,0.21421739130434783
11,0.27802173913043476,0.19130434782608696,0.21297826086956523
12,0.27854347826086956,0.1782608695652174,0.21315217391304347
13,0.2784782608695652,0.1826086956521739,0.21313043478260868
14,0.2790869565217391,0.1782608695652174,0.2134347826086957
15,0.27804347826086956,0.1782608695652174,0.21295652173913043
16,0.27889130434782605,0.1826086956521739,0.21306521739130432
17,0.2792391304347826,0.1782608695652174,0.2133695652173913
18,0.27899999999999997,0.1782608695652174,0.21295652173913043
19,0.27904347826086956,0.1826086956521739,0.21295652173913043
20,0.27906521739130435,0.1826086956521739,0.21293478260869564
