CV_Fold,Accuracy,Recall,Precision,FPR,ROC_AUC
1,68.51851851851852,45.94594594594595,54.83870967741935,19.718309859154925,63.11381804339551
2,75.92592592592592,56.75675675675676,67.74193548387096,14.084507042253524,71.33612485725162
3,76.85185185185185,70.27027027027027,65.0,19.718309859154925,75.27598020555767
4,71.96261682242991,75.67567567567568,57.14285714285714,30.000000000000004,72.83783783783784
5,75.70093457943925,56.75675675675676,67.74193548387096,14.28571428571429,71.23552123552123
6,78.70370370370371,62.16216216216216,71.875,12.676056338028175,74.74305291206699
7,75.0,59.45945945945946,64.70588235294117,16.901408450704224,71.27902550437761
8,69.44444444444444,70.27027027027027,54.166666666666664,30.98591549295775,69.64217738865625
9,74.76635514018692,78.37837837837837,60.416666666666664,27.142857142857146,75.61776061776062
10,77.57009345794393,56.75675675675676,72.41379310344827,11.428571428571432,72.66409266409266
11,70.37037037037037,70.27027027027027,55.319148936170215,29.5774647887324,70.34640274076894
12,74.07407407407408,62.16216216216216,62.16216216216216,19.718309859154925,71.22192615150361
13,79.62962962962963,70.27027027027027,70.27027027027027,15.492957746478876,77.38865626189569
14,73.83177570093457,51.35135135135135,65.51724137931035,14.28571428571429,68.53281853281854
15,67.28971962616822,70.27027027027027,52.0,34.285714285714285,67.99227799227798
16,72.22222222222221,43.24324324324324,64.0,12.676056338028175,65.28359345260752
17,72.22222222222221,35.13513513513514,68.42105263157895,8.450704225352112,63.3422154548915
18,72.22222222222221,40.54054054054054,65.21739130434783,11.267605633802813,64.63646745336888
19,67.28971962616822,81.08108108108108,51.724137931034484,40.0,70.54054054054055
20,72.89719626168224,78.37837837837837,57.99999999999999,30.000000000000004,74.1891891891892
21,71.29629629629629,78.37837837837837,55.769230769230774,32.3943661971831,72.99200609059764
22,70.37037037037037,59.45945945945946,56.41025641025641,23.943661971830988,67.75789874381425
23,71.29629629629629,86.48648648648648,55.172413793103445,36.61971830985915,74.93338408831367
24,71.96261682242991,45.94594594594595,62.96296296296296,14.28571428571429,65.83011583011584
25,70.09345794392523,56.75675675675676,56.75675675675676,22.857142857142854,66.94980694980696
0,73.91304347826086,80.72289156626506,60.36036036036037,29.931972789115648,75.39545938857472
